Station,Shape_k,Scale_A,Mean_Wind_Speed_ms,Power_Density_Wm2,Exceedance_Probability_%,Data_Count
Shannon Airport,5.801586295238324,5.339875358073374,4.944641801465969,82.71312730539114,96.5358839086139,955
Knock Airport,7.407017144011617,5.183028394772412,4.862476411730205,75.64519903345686,98.27283171902256,341
Dunsany,6.1547802590017175,4.394453168347075,4.082545637168142,46.04669923128762,90.89912684849406,226
Oak Park,6.02594761502489,4.100282636482054,3.8048195598393573,37.41616208474447,85.88438223138654,249
Ballyhaise,5.837543388907854,3.556660190270812,3.29454997704918,24.436432969896558,69.05692087975618,244
