station,year,month,wdsp,wdsp_ms
DUNSANY,2016,9,7.8,4.0126632
DUNSANY,2016,10,6.2,3.1895528
DUNSANY,2016,11,6.6,3.3953303999999997
DUNSANY,2016,12,7.6,3.9097744
DUNSANY,2017,1,7.4,3.8068856
DUNSANY,2017,2,9.7,4.9901067999999995
DUNSANY,2017,3,9.0,4.629996
DUNSANY,2017,4,7.0,3.601108
DUNSANY,2017,5,7.3,3.7554412
DUNSANY,2017,6,8.3,4.2698852
DUNSANY,2017,7,7.1,3.6525524
DUNSANY,2017,8,7.1,3.6525524
DUNSANY,2017,9,7.3,3.7554412
DUNSANY,2017,10,9.3,4.7843292
DUNSANY,2017,11,7.3,3.7554412
DUNSANY,2017,12,8.4,4.3213296
DUNSANY,2018,1,10.6,5.4531064
DUNSANY,2018,2,8.3,4.2698852
DUNSANY,2018,3,9.0,4.629996
DUNSANY,2018,4,8.5,4.372774
DUNSANY,2018,5,7.0,3.601108
DUNSANY,2018,6,6.5,3.343886
DUNSANY,2018,7,5.7,2.9323308000000003
DUNSANY,2018,8,7.2,3.7039968
DUNSANY,2018,9,7.9,4.064107600000001
DUNSANY,2018,10,7.3,3.7554412
DUNSANY,2018,11,8.8,4.5271072000000006
DUNSANY,2018,12,8.8,4.5271072000000006
DUNSANY,2019,1,7.1,3.6525524
DUNSANY,2019,2,9.7,4.9901067999999995
DUNSANY,2019,3,10.0,5.14444
DUNSANY,2019,4,7.8,4.0126632
DUNSANY,2019,5,6.3,3.2409972
DUNSANY,2019,6,7.2,3.7039968
DUNSANY,2019,7,6.4,3.2924416
DUNSANY,2019,8,8.2,4.2184408
DUNSANY,2019,9,7.4,3.8068856
DUNSANY,2019,10,7.2,3.7039968
DUNSANY,2019,11,6.6,3.3953303999999997
DUNSANY,2019,12,9.5,4.887218
DUNSANY,2020,1,9.6,4.9386624
DUNSANY,2020,2,13.0,6.687772
DUNSANY,2020,3,9.4,4.8357736000000004
DUNSANY,2020,4,7.3,3.7554412
DUNSANY,2020,5,7.7,3.9612188
DUNSANY,2020,6,7.7,3.9612188
DUNSANY,2020,7,7.6,3.9097744
DUNSANY,2020,8,7.1,3.6525524
DUNSANY,2020,9,7.5,3.85833
DUNSANY,2020,10,8.5,4.372774
DUNSANY,2020,11,9.0,4.629996
DUNSANY,2020,12,8.3,4.2698852
DUNSANY,2021,1,7.1,3.6525524
DUNSANY,2021,2,10.5,5.401662
DUNSANY,2021,3,8.9,4.5785516
DUNSANY,2021,4,6.2,3.1895528
DUNSANY,2021,5,6.8,3.4982192
DUNSANY,2021,6,6.8,3.4982192
DUNSANY,2021,7,5.1,2.6236644
DUNSANY,2021,8,6.3,3.2409972
DUNSANY,2021,9,6.1,3.1381083999999997
DUNSANY,2021,10,8.0,4.115552
DUNSANY,2021,11,7.6,3.9097744
DUNSANY,2021,12,8.4,4.3213296
DUNSANY,2022,1,7.6,3.9097744
DUNSANY,2022,2,12.5,6.43055
DUNSANY,2022,3,7.1,3.6525524
DUNSANY,2022,4,7.9,4.064107600000001
DUNSANY,2022,5,7.9,4.064107600000001
DUNSANY,2022,6,7.6,3.9097744
DUNSANY,2022,7,6.5,3.343886
DUNSANY,2022,8,6.2,3.1895528
DUNSANY,2022,9,6.0,3.086664
DUNSANY,2022,10,9.1,4.6814404
DUNSANY,2022,11,8.9,4.5785516
DUNSANY,2022,12,6.9,3.5496636
DUNSANY,2023,1,9.3,4.7843292
DUNSANY,2023,2,8.6,4.4242184
DUNSANY,2023,3,8.4,4.3213296
DUNSANY,2023,4,7.4,3.8068856
DUNSANY,2023,5,5.9,3.0352196000000005
DUNSANY,2023,6,6.8,3.4982192
DUNSANY,2023,7,8.1,4.1669963999999995
DUNSANY,2023,8,7.5,3.85833
DUNSANY,2023,9,7.1,3.6525524
DUNSANY,2023,10,6.8,3.4982192
DUNSANY,2023,11,7.7,3.9612188
DUNSANY,2023,12,11.0,5.6588840000000005
DUNSANY,2024,1,8.7,4.475662799999999
DUNSANY,2024,2,9.1,4.6814404
DUNSANY,2024,3,9.1,4.6814404
DUNSANY,2024,4,8.5,4.372774
DUNSANY,2024,5,6.2,3.1895528
DUNSANY,2024,6,7.0,3.601108
DUNSANY,2024,7,6.4,3.2924416
DUNSANY,2024,8,9.2,4.7328848
DUNSANY,2024,9,7.1,3.6525524
DUNSANY,2024,10,7.5,3.85833
DUNSANY,2024,11,6.0,3.086664
DUNSANY,2024,12,9.2,4.7328848
DUNSANY,2025,1,7.5,3.85833
DUNSANY,2025,2,9.6,4.9386624
DUNSANY,2025,3,7.2,3.7039968
