station,year,month,wdsp,wdsp_ms
SHANNON AIRPORT,1954,2,10.4,5.350217600000001
SHANNON AIRPORT,1954,3,12.6,6.4819944
SHANNON AIRPORT,1954,4,9.7,4.9901067999999995
SHANNON AIRPORT,1954,5,11.8,6.070439200000001
SHANNON AIRPORT,1954,6,10.2,5.2473288
SHANNON AIRPORT,1954,7,12.7,6.5334388
SHANNON AIRPORT,1954,8,9.8,5.041551200000001
SHANNON AIRPORT,1954,9,13.1,6.7392164
SHANNON AIRPORT,1954,10,11.6,5.9675504
SHANNON AIRPORT,1954,11,11.2,5.7617728
SHANNON AIRPORT,1954,12,14.3,7.356549200000001
SHANNON AIRPORT,1955,1,10.8,5.555995200000001
SHANNON AIRPORT,1955,2,9.7,4.9901067999999995
SHANNON AIRPORT,1955,3,7.0,3.601108
SHANNON AIRPORT,1955,4,9.9,5.0929956
SHANNON AIRPORT,1955,5,12.7,6.5334388
SHANNON AIRPORT,1955,6,9.7,4.9901067999999995
SHANNON AIRPORT,1955,7,4.7,2.4178868000000002
SHANNON AIRPORT,1955,8,7.2,3.7039968
SHANNON AIRPORT,1955,9,11.6,5.9675504
SHANNON AIRPORT,1955,10,9.4,4.8357736000000004
SHANNON AIRPORT,1955,11,8.5,4.372774
SHANNON AIRPORT,1955,12,12.4,6.3791056
SHANNON AIRPORT,1956,1,9.2,4.7328848
SHANNON AIRPORT,1956,2,8.6,4.4242184
SHANNON AIRPORT,1956,3,13.5,6.944994
SHANNON AIRPORT,1956,4,8.2,4.2184408
SHANNON AIRPORT,1956,5,11.4,5.864661600000001
SHANNON AIRPORT,1956,6,11.6,5.9675504
SHANNON AIRPORT,1956,7,9.8,5.041551200000001
SHANNON AIRPORT,1956,8,10.1,5.1958844
SHANNON AIRPORT,1956,9,10.3,5.2987732
SHANNON AIRPORT,1956,10,9.1,4.6814404
SHANNON AIRPORT,1956,11,10.0,5.14444
SHANNON AIRPORT,1956,12,12.7,6.5334388
SHANNON AIRPORT,1957,1,11.0,5.6588840000000005
SHANNON AIRPORT,1957,2,10.9,5.6074396
SHANNON AIRPORT,1957,3,10.9,5.6074396
SHANNON AIRPORT,1957,4,7.1,3.6525524
SHANNON AIRPORT,1957,5,8.1,4.1669963999999995
SHANNON AIRPORT,1957,6,6.9,3.5496636
SHANNON AIRPORT,1957,7,10.6,5.4531064
SHANNON AIRPORT,1957,8,9.9,5.0929956
SHANNON AIRPORT,1957,9,10.4,5.350217600000001
SHANNON AIRPORT,1957,10,9.3,4.7843292
SHANNON AIRPORT,1957,11,8.1,4.1669963999999995
SHANNON AIRPORT,1957,12,10.2,5.2473288
SHANNON AIRPORT,1958,1,11.2,5.7617728
SHANNON AIRPORT,1958,2,9.4,4.8357736000000004
SHANNON AIRPORT,1958,3,12.8,6.5848832
SHANNON AIRPORT,1958,4,10.2,5.2473288
SHANNON AIRPORT,1958,5,9.8,5.041551200000001
SHANNON AIRPORT,1958,6,9.5,4.887218
SHANNON AIRPORT,1958,7,7.6,3.9097744
SHANNON AIRPORT,1958,8,9.7,4.9901067999999995
SHANNON AIRPORT,1958,9,10.3,5.2987732
SHANNON AIRPORT,1958,10,8.6,4.4242184
SHANNON AIRPORT,1958,11,7.3,3.7554412
SHANNON AIRPORT,1958,12,9.3,4.7843292
SHANNON AIRPORT,1959,1,8.7,4.475662799999999
SHANNON AIRPORT,1959,2,9.5,4.887218
SHANNON AIRPORT,1959,3,11.7,6.0189948
SHANNON AIRPORT,1959,4,10.6,5.4531064
SHANNON AIRPORT,1959,5,6.3,3.2409972
SHANNON AIRPORT,1959,6,9.0,4.629996
SHANNON AIRPORT,1959,7,8.1,4.1669963999999995
SHANNON AIRPORT,1959,8,7.8,4.0126632
SHANNON AIRPORT,1959,9,6.4,3.2924416
SHANNON AIRPORT,1959,10,12.4,6.3791056
SHANNON AIRPORT,1959,11,11.0,5.6588840000000005
SHANNON AIRPORT,1959,12,13.9,7.150771600000001
SHANNON AIRPORT,1960,1,8.8,4.5271072000000006
SHANNON AIRPORT,1960,2,9.8,5.041551200000001
SHANNON AIRPORT,1960,3,12.4,6.3791056
SHANNON AIRPORT,1960,4,10.0,5.14444
SHANNON AIRPORT,1960,5,8.0,4.115552
SHANNON AIRPORT,1960,6,8.5,4.372774
SHANNON AIRPORT,1960,7,11.2,5.7617728
SHANNON AIRPORT,1960,8,8.2,4.2184408
SHANNON AIRPORT,1960,9,8.7,4.475662799999999
SHANNON AIRPORT,1960,10,7.0,3.601108
SHANNON AIRPORT,1960,11,11.4,5.864661600000001
SHANNON AIRPORT,1960,12,9.6,4.9386624
SHANNON AIRPORT,1961,1,11.3,5.8132172
SHANNON AIRPORT,1961,2,14.1,7.2536604
SHANNON AIRPORT,1961,3,10.9,5.6074396
SHANNON AIRPORT,1961,4,8.6,4.4242184
SHANNON AIRPORT,1961,5,8.9,4.5785516
SHANNON AIRPORT,1961,6,9.8,5.041551200000001
SHANNON AIRPORT,1961,7,9.4,4.8357736000000004
SHANNON AIRPORT,1961,8,12.0,6.173328
SHANNON AIRPORT,1961,9,10.4,5.350217600000001
SHANNON AIRPORT,1961,10,11.5,5.916106
SHANNON AIRPORT,1961,11,8.9,4.5785516
SHANNON AIRPORT,1961,12,11.1,5.7103284
SHANNON AIRPORT,1962,1,11.0,5.6588840000000005
SHANNON AIRPORT,1962,2,13.1,6.7392164
SHANNON AIRPORT,1962,3,9.5,4.887218
SHANNON AIRPORT,1962,4,9.8,5.041551200000001
SHANNON AIRPORT,1962,5,10.3,5.2987732
SHANNON AIRPORT,1962,6,10.2,5.2473288
SHANNON AIRPORT,1962,7,8.4,4.3213296
SHANNON AIRPORT,1962,8,9.6,4.9386624
SHANNON AIRPORT,1962,9,8.1,4.1669963999999995
SHANNON AIRPORT,1962,10,7.4,3.8068856
SHANNON AIRPORT,1962,11,7.4,3.8068856
SHANNON AIRPORT,1962,12,13.1,6.7392164
SHANNON AIRPORT,1963,1,10.3,5.2987732
SHANNON AIRPORT,1963,2,12.5,6.43055
SHANNON AIRPORT,1963,3,13.0,6.687772
SHANNON AIRPORT,1963,4,11.1,5.7103284
SHANNON AIRPORT,1963,5,12.5,6.43055
SHANNON AIRPORT,1963,6,9.3,4.7843292
SHANNON AIRPORT,1963,7,7.9,4.064107600000001
SHANNON AIRPORT,1963,8,10.9,5.6074396
SHANNON AIRPORT,1963,9,9.3,4.7843292
SHANNON AIRPORT,1963,10,12.1,6.2247724
SHANNON AIRPORT,1963,11,12.4,6.3791056
SHANNON AIRPORT,1963,12,11.1,5.7103284
SHANNON AIRPORT,1964,1,10.7,5.5045508
SHANNON AIRPORT,1964,2,12.4,6.3791056
SHANNON AIRPORT,1964,3,11.7,6.0189948
SHANNON AIRPORT,1964,4,10.8,5.555995200000001
SHANNON AIRPORT,1964,5,12.3,6.3276612000000005
SHANNON AIRPORT,1964,6,10.1,5.1958844
SHANNON AIRPORT,1964,7,9.7,4.9901067999999995
SHANNON AIRPORT,1964,8,8.4,4.3213296
SHANNON AIRPORT,1964,9,10.0,5.14444
SHANNON AIRPORT,1964,10,9.5,4.887218
SHANNON AIRPORT,1964,11,10.2,5.2473288
SHANNON AIRPORT,1964,12,10.8,5.555995200000001
SHANNON AIRPORT,1965,1,13.0,6.687772
SHANNON AIRPORT,1965,2,6.7,3.4467748
SHANNON AIRPORT,1965,3,12.1,6.2247724
SHANNON AIRPORT,1965,4,12.3,6.3276612000000005
SHANNON AIRPORT,1965,5,10.1,5.1958844
SHANNON AIRPORT,1965,6,10.1,5.1958844
SHANNON AIRPORT,1965,7,8.3,4.2698852
SHANNON AIRPORT,1965,8,10.6,5.4531064
SHANNON AIRPORT,1965,9,9.4,4.8357736000000004
SHANNON AIRPORT,1965,10,9.5,4.887218
SHANNON AIRPORT,1965,11,11.3,5.8132172
SHANNON AIRPORT,1965,12,16.6,8.5397704
SHANNON AIRPORT,1966,1,12.2,6.276216799999999
SHANNON AIRPORT,1966,2,14.3,7.356549200000001
SHANNON AIRPORT,1966,3,11.7,6.0189948
SHANNON AIRPORT,1966,4,13.3,6.842105200000001
SHANNON AIRPORT,1966,5,11.4,5.864661600000001
SHANNON AIRPORT,1966,6,8.8,4.5271072000000006
SHANNON AIRPORT,1966,7,10.4,5.350217600000001
SHANNON AIRPORT,1966,8,8.6,4.4242184
SHANNON AIRPORT,1966,9,8.7,4.475662799999999
SHANNON AIRPORT,1966,10,7.8,4.0126632
SHANNON AIRPORT,1966,11,9.9,5.0929956
SHANNON AIRPORT,1966,12,14.4,7.4079936
SHANNON AIRPORT,1967,1,9.8,5.041551200000001
SHANNON AIRPORT,1967,2,13.7,7.0478828
SHANNON AIRPORT,1967,3,15.1,7.7681044
SHANNON AIRPORT,1967,4,11.2,5.7617728
SHANNON AIRPORT,1967,5,11.9,6.1218836
SHANNON AIRPORT,1967,6,9.0,4.629996
SHANNON AIRPORT,1967,7,9.4,4.8357736000000004
SHANNON AIRPORT,1967,8,9.9,5.0929956
SHANNON AIRPORT,1967,9,11.9,6.1218836
SHANNON AIRPORT,1967,10,14.1,7.2536604
SHANNON AIRPORT,1967,11,9.7,4.9901067999999995
SHANNON AIRPORT,1967,12,10.6,5.4531064
SHANNON AIRPORT,1968,1,11.6,5.9675504
SHANNON AIRPORT,1968,2,9.1,4.6814404
SHANNON AIRPORT,1968,3,12.3,6.3276612000000005
SHANNON AIRPORT,1968,4,11.2,5.7617728
SHANNON AIRPORT,1968,5,9.2,4.7328848
SHANNON AIRPORT,1968,6,8.8,4.5271072000000006
SHANNON AIRPORT,1968,7,7.1,3.6525524
SHANNON AIRPORT,1968,8,8.4,4.3213296
SHANNON AIRPORT,1968,9,10.7,5.5045508
SHANNON AIRPORT,1968,10,10.9,5.6074396
SHANNON AIRPORT,1968,11,12.5,6.43055
SHANNON AIRPORT,1968,12,9.4,4.8357736000000004
SHANNON AIRPORT,1969,1,10.0,5.14444
SHANNON AIRPORT,1969,2,9.9,5.0929956
SHANNON AIRPORT,1969,3,8.4,4.3213296
SHANNON AIRPORT,1969,4,10.4,5.350217600000001
SHANNON AIRPORT,1969,5,7.5,3.85833
SHANNON AIRPORT,1969,6,7.9,4.064107600000001
SHANNON AIRPORT,1969,7,9.1,4.6814404
SHANNON AIRPORT,1969,8,9.1,4.6814404
SHANNON AIRPORT,1969,9,7.9,4.064107600000001
SHANNON AIRPORT,1969,10,10.8,5.555995200000001
SHANNON AIRPORT,1969,11,10.0,5.14444
SHANNON AIRPORT,1969,12,9.7,4.9901067999999995
SHANNON AIRPORT,1970,1,10.0,5.14444
SHANNON AIRPORT,1970,2,12.3,6.3276612000000005
SHANNON AIRPORT,1970,3,11.6,5.9675504
SHANNON AIRPORT,1970,4,10.9,5.6074396
SHANNON AIRPORT,1970,5,9.6,4.9386624
SHANNON AIRPORT,1970,6,8.8,4.5271072000000006
SHANNON AIRPORT,1970,7,10.9,5.6074396
SHANNON AIRPORT,1970,8,7.9,4.064107600000001
SHANNON AIRPORT,1970,9,21.7,11.1634348
SHANNON AIRPORT,1970,10,11.3,5.8132172
SHANNON AIRPORT,1970,11,10.4,5.350217600000001
SHANNON AIRPORT,1970,12,9.0,4.629996
SHANNON AIRPORT,1971,1,11.8,6.070439200000001
SHANNON AIRPORT,1971,2,9.9,5.0929956
SHANNON AIRPORT,1971,3,9.3,4.7843292
SHANNON AIRPORT,1971,4,8.5,4.372774
SHANNON AIRPORT,1971,5,9.3,4.7843292
SHANNON AIRPORT,1971,6,9.6,4.9386624
SHANNON AIRPORT,1971,7,7.2,3.7039968
SHANNON AIRPORT,1971,8,8.4,4.3213296
SHANNON AIRPORT,1971,9,7.4,3.8068856
SHANNON AIRPORT,1971,10,10.5,5.401662
SHANNON AIRPORT,1971,11,10.1,5.1958844
SHANNON AIRPORT,1971,12,10.0,5.14444
SHANNON AIRPORT,1972,1,10.4,5.350217600000001
SHANNON AIRPORT,1972,2,10.5,5.401662
SHANNON AIRPORT,1972,3,10.3,5.2987732
SHANNON AIRPORT,1972,4,11.0,5.6588840000000005
SHANNON AIRPORT,1972,5,12.8,6.5848832
SHANNON AIRPORT,1972,6,10.2,5.2473288
SHANNON AIRPORT,1972,7,7.2,3.7039968
SHANNON AIRPORT,1972,8,6.9,3.5496636
SHANNON AIRPORT,1972,9,5.9,3.0352196000000005
SHANNON AIRPORT,1972,10,7.9,4.064107600000001
SHANNON AIRPORT,1972,11,8.2,4.2184408
SHANNON AIRPORT,1972,12,12.1,6.2247724
SHANNON AIRPORT,1973,1,9.9,5.0929956
SHANNON AIRPORT,1973,2,12.2,6.276216799999999
SHANNON AIRPORT,1973,3,9.5,4.887218
SHANNON AIRPORT,1973,4,10.3,5.2987732
SHANNON AIRPORT,1973,5,10.8,5.555995200000001
SHANNON AIRPORT,1973,6,9.1,4.6814404
SHANNON AIRPORT,1973,7,8.1,4.1669963999999995
SHANNON AIRPORT,1973,8,8.4,4.3213296
SHANNON AIRPORT,1973,9,8.9,4.5785516
SHANNON AIRPORT,1973,10,8.5,4.372774
SHANNON AIRPORT,1973,11,9.7,4.9901067999999995
SHANNON AIRPORT,1973,12,10.0,5.14444
SHANNON AIRPORT,1974,1,15.2,7.8195488
SHANNON AIRPORT,1974,2,10.2,5.2473288
SHANNON AIRPORT,1974,3,9.3,4.7843292
SHANNON AIRPORT,1974,4,7.5,3.85833
SHANNON AIRPORT,1974,5,11.1,5.7103284
SHANNON AIRPORT,1974,6,10.0,5.14444
SHANNON AIRPORT,1974,7,12.0,6.173328
SHANNON AIRPORT,1974,8,9.8,5.041551200000001
SHANNON AIRPORT,1974,9,12.0,6.173328
SHANNON AIRPORT,1974,10,10.1,5.1958844
SHANNON AIRPORT,1974,11,11.0,5.6588840000000005
SHANNON AIRPORT,1974,12,16.6,8.5397704
SHANNON AIRPORT,1975,1,14.4,7.4079936
SHANNON AIRPORT,1975,2,10.8,5.555995200000001
SHANNON AIRPORT,1975,3,9.1,4.6814404
SHANNON AIRPORT,1975,4,9.7,4.9901067999999995
SHANNON AIRPORT,1975,5,7.8,4.0126632
SHANNON AIRPORT,1975,6,8.2,4.2184408
SHANNON AIRPORT,1975,7,8.5,4.372774
SHANNON AIRPORT,1975,8,6.7,3.4467748
SHANNON AIRPORT,1975,9,9.5,4.887218
SHANNON AIRPORT,1975,10,11.9,6.1218836
SHANNON AIRPORT,1975,11,9.2,4.7328848
SHANNON AIRPORT,1975,12,6.8,3.4982192
SHANNON AIRPORT,1976,1,13.2,6.7906607999999995
SHANNON AIRPORT,1976,2,10.1,5.1958844
SHANNON AIRPORT,1976,3,13.3,6.842105200000001
SHANNON AIRPORT,1976,4,8.3,4.2698852
SHANNON AIRPORT,1976,5,10.7,5.5045508
SHANNON AIRPORT,1976,6,8.1,4.1669963999999995
SHANNON AIRPORT,1976,7,7.6,3.9097744
SHANNON AIRPORT,1976,8,5.2,2.6751088000000003
SHANNON AIRPORT,1976,9,8.3,4.2698852
SHANNON AIRPORT,1976,10,8.5,4.372774
SHANNON AIRPORT,1976,11,7.5,3.85833
SHANNON AIRPORT,1976,12,7.0,3.601108
SHANNON AIRPORT,1977,1,8.4,4.3213296
SHANNON AIRPORT,1977,2,9.6,4.9386624
SHANNON AIRPORT,1977,3,12.4,6.3791056
SHANNON AIRPORT,1977,4,11.0,5.6588840000000005
SHANNON AIRPORT,1977,5,6.2,3.1895528
SHANNON AIRPORT,1977,6,8.2,4.2184408
SHANNON AIRPORT,1977,7,8.7,4.475662799999999
SHANNON AIRPORT,1977,8,6.6,3.3953303999999997
SHANNON AIRPORT,1977,9,9.5,4.887218
SHANNON AIRPORT,1977,10,11.1,5.7103284
SHANNON AIRPORT,1977,11,11.4,5.864661600000001
SHANNON AIRPORT,1977,12,10.4,5.350217600000001
SHANNON AIRPORT,1978,1,10.9,5.6074396
SHANNON AIRPORT,1978,2,11.8,6.070439200000001
SHANNON AIRPORT,1978,3,14.1,7.2536604
SHANNON AIRPORT,1978,4,10.2,5.2473288
SHANNON AIRPORT,1978,5,7.4,3.8068856
SHANNON AIRPORT,1978,6,10.3,5.2987732
SHANNON AIRPORT,1978,7,10.2,5.2473288
SHANNON AIRPORT,1978,8,7.8,4.0126632
SHANNON AIRPORT,1978,9,11.2,5.7617728
SHANNON AIRPORT,1978,10,8.8,4.5271072000000006
SHANNON AIRPORT,1978,11,11.7,6.0189948
SHANNON AIRPORT,1978,12,11.6,5.9675504
SHANNON AIRPORT,1979,1,8.8,4.5271072000000006
SHANNON AIRPORT,1979,2,11.1,5.7103284
SHANNON AIRPORT,1979,3,12.9,6.6363276
SHANNON AIRPORT,1979,4,8.9,4.5785516
SHANNON AIRPORT,1979,5,8.5,4.372774
SHANNON AIRPORT,1979,6,8.3,4.2698852
SHANNON AIRPORT,1979,7,7.8,4.0126632
SHANNON AIRPORT,1979,8,8.6,4.4242184
