station,year,month,wdsp
BALLYHAISE,2017,10,7.3
BALLYHAISE,2017,11,5.6
BALLYHAISE,2017,12,6.4
BALLYHAISE,2018,1,8.1
BALLYHAISE,2018,2,6.8
BALLYHAISE,2018,3,7.1
BALLYHAISE,2018,4,7.1
BALLYHAISE,2018,5,5.6
BALLYHAISE,2018,6,4.5
BALLYHAISE,2018,7,4.7
BALLYHAISE,2018,8,5.5
BALLYHAISE,2018,9,6.2
BALLYHAISE,2018,10,6.0
BALLYHAISE,2018,11,7.8
BALLYHAISE,2018,12,7.1
BALLYHAISE,2019,1,5.5
BALLYHAISE,2019,2,8.2
BALLYHAISE,2019,3,7.4
BALLYHAISE,2019,4,6.8
BALLYHAISE,2019,5,4.9
BALLYHAISE,2019,6,5.7
BALLYHAISE,2019,7,5.4
BALLYHAISE,2019,8,6.1
BALLYHAISE,2019,9,5.3
BALLYHAISE,2019,10,6.0
BALLYHAISE,2019,11,5.0
BALLYHAISE,2019,12,7.3
BALLYHAISE,2020,1,8.0
BALLYHAISE,2020,2,9.7
BALLYHAISE,2020,3,7.2
BALLYHAISE,2020,4,5.6
BALLYHAISE,2020,5,5.8
BALLYHAISE,2020,6,5.8
BALLYHAISE,2020,7,5.4
BALLYHAISE,2020,8,5.1
BALLYHAISE,2020,9,5.7
BALLYHAISE,2020,10,6.5
BALLYHAISE,2020,11,6.7
BALLYHAISE,2020,12,6.5
BALLYHAISE,2021,1,5.3
BALLYHAISE,2021,2,8.8
BALLYHAISE,2021,3,6.8
BALLYHAISE,2021,4,4.8
BALLYHAISE,2021,5,5.5
BALLYHAISE,2021,6,5.3
BALLYHAISE,2021,7,3.5
BALLYHAISE,2021,8,4.3
BALLYHAISE,2021,9,4.4
BALLYHAISE,2021,10,6.0
BALLYHAISE,2021,11,5.8
BALLYHAISE,2021,12,6.4
BALLYHAISE,2022,1,6.1
BALLYHAISE,2022,2,8.9
BALLYHAISE,2022,3,5.9
BALLYHAISE,2022,4,5.8
BALLYHAISE,2022,5,6.1
BALLYHAISE,2022,6,5.8
BALLYHAISE,2022,7,4.6
BALLYHAISE,2022,8,4.5
BALLYHAISE,2022,9,4.6
BALLYHAISE,2022,10,7.0
BALLYHAISE,2022,11,7.3
BALLYHAISE,2022,12,5.4
BALLYHAISE,2023,1,6.6
BALLYHAISE,2023,2,6.6
BALLYHAISE,2023,3,6.2
BALLYHAISE,2023,4,5.9
BALLYHAISE,2023,5,4.6
BALLYHAISE,2023,6,4.8
BALLYHAISE,2023,7,5.6
BALLYHAISE,2023,8,5.5
BALLYHAISE,2023,9,5.5
BALLYHAISE,2023,10,5.4
BALLYHAISE,2023,11,5.3
BALLYHAISE,2023,12,7.6
BALLYHAISE,2024,1,6.3
BALLYHAISE,2024,2,6.7
BALLYHAISE,2024,3,6.8
BALLYHAISE,2024,4,6.3
BALLYHAISE,2024,5,4.9
BALLYHAISE,2024,6,5.1
BALLYHAISE,2024,7,4.6
BALLYHAISE,2024,8,6.6
BALLYHAISE,2024,9,4.8
BALLYHAISE,2024,10,6.1
BALLYHAISE,2024,11,4.9
BALLYHAISE,2024,12,6.7
BALLYHAISE,2025,1,5.5
BALLYHAISE,2025,2,7.8
BALLYHAISE,2025,3,5.7
